project_id,team_size,planned_duration_days,actual_duration_days,budget_k,actual_cost_k,complexity_score,risk_score,total_tasks,tasks_completed_mid,schedule_variance_days,cost_variance_k,project_success
56,16,249,259,440,533,3,9,84,61,10,93,0
57,10,187,217,245,321,5,1,142,34,30,76,0
58,18,75,157,363,478,9,5,146,112,82,115,0
59,15,35,52,163,219,2,6,184,109,17,56,0
60,17,128,175,124,261,10,5,125,53,47,137,0
61,15,262,303,462,605,8,6,98,31,41,143,0
62,11,66,62,425,528,2,6,143,69,-4,103,0
63,17,309,381,469,577,5,7,73,23,72,108,0
64,15,331,372,266,324,7,4,197,59,41,58,0
65,3,210,266,326,488,8,8,86,49,56,162,0
66,9,124,108,298,437,1,7,53,27,-16,139,0
67,11,128,157,213,348,6,9,157,94,29,135,0
68,3,217,272,443,458,1,7,175,132,55,15,0
69,14,145,170,406,455,2,3,69,35,25,49,1
70,10,220,257,457,491,1,3,99,54,37,34,0
71,13,282,351,241,353,5,8,145,36,69,112,0
72,19,190,235,276,444,10,5,154,97,45,168,0
73,10,285,390,226,389,9,4,166,73,105,163,0
74,5,352,444,148,292,6,8,147,115,92,144,0
75,5,157,169,85,140,1,6,115,79,12,55,0
76,3,47,0,145,204,1,2,128,65,-47,59,0
77,7,310,325,201,209,2,4,55,15,15,8,1
78,12,252,313,200,301,9,4,88,62,61,101,0
79,9,83,105,239,299,3,6,164,111,22,60,0
80,11,87,106,273,331,1,6,174,54,19,58,0
81,9,352,364,86,159,5,1,61,23,12,73,0
82,11,203,280,317,445,7,8,180,121,77,128,0
83,10,309,358,418,499,6,6,67,20,49,81,0
84,14,143,176,232,295,1,3,89,66,33,63,0
85,4,317,393,62,177,5,9,70,31,76,115,0
86,3,180,168,328,397,5,2,192,48,-12,69,0
87,18,156,195,266,406,6,8,148,102,39,140,0
88,7,184,217,404,515,3,10,75,31,33,111,0
89,5,302,387,410,485,5,3,57,29,85,75,0
90,14,133,185,335,475,7,5,149,39,52,140,0
91,10,328,387,322,424,5,6,136,27,59,102,0
92,5,275,293,418,573,5,10,91,53,18,155,0
93,3,205,250,111,225,5,6,63,32,45,114,0
94,5,68,149,133,325,10,4,127,70,81,192,0
95,7,199,275,417,553,10,3,51,34,76,136,0
96,17,276,315,266,347,3,4,168,98,39,81,0
97,16,55,63,391,442,1,1,86,26,8,51,0
98,5,335,373,446,529,5,4,118,49,38,83,0
99,3,42,57,236,315,9,1,90,66,15,79,0
100,7,345,335,68,72,1,1,111,73,-10,4,1
101,16,342,391,226,323,3,10,109,58,49,97,0
102,9,65,89,149,209,4,6,174,61,24,60,0
103,11,202,235,445,504,1,5,160,60,33,59,0
104,17,49,75,494,518,1,4,63,40,26,24,1
105,17,350,426,282,391,8,3,133,94,76,109,0
106,12,293,325,452,476,2,1,179,107,32,24,0
107,15,171,233,125,252,8,6,119,81,62,127,0
108,9,172,227,314,416,7,2,194,128,55,102,0
109,19,121,215,333,481,10,8,172,49,94,148,0
110,6,351,421,255,454,10,10,138,62,70,199,0
111,7,317,336,272,379,2,5,77,22,19,107,0
112,9,244,294,433,559,6,7,115,39,50,126,0
113,15,80,131,101,218,6,10,54,38,51,117,0
114,17,182,223,388,416,3,2,94,45,41,28,0
115,13,215,237,416,493,2,8,96,50,22,77,0
116,6,92,128,193,202,1,2,80,24,36,9,0
117,15,219,254,422,485,6,4,188,72,35,63,0
118,9,154,191,118,180,5,1,59,19,37,62,0
119,4,179,242,148,272,9,5,167,54,63,124,0
120,12,343,356,445,532,1,9,63,36,13,87,0
121,15,87,125,74,187,7,1,129,45,38,113,0
122,8,334,392,485,600,5,9,142,82,58,115,0
123,14,209,257,428,507,5,8,59,13,48,79,0
124,14,199,201,102,159,2,6,125,35,2,57,0
125,13,355,425,200,309,3,7,143,52,70,109,0
126,9,300,345,193,307,7,3,154,85,45,114,0
127,3,83,101,106,189,6,1,50,30,18,83,0
128,3,130,187,88,130,2,5,182,84,57,42,0
129,15,293,341,158,256,6,2,69,32,48,98,0
130,11,82,83,230,319,2,5,57,36,1,89,0
131,5,89,103,91,155,2,8,50,10,14,64,0
132,9,137,170,235,326,2,9,106,42,33,91,0
133,8,34,60,472,578,3,2,113,78,26,106,0
134,10,132,163,447,469,2,3,167,93,31,22,0
135,11,225,273,272,285,4,3,77,30,48,13,0
136,7,291,349,171,310,9,1,170,126,58,139,0
137,3,76,156,182,340,6,8,156,103,80,158,0
138,12,340,365,212,257,1,6,98,35,25,45,1
139,14,337,386,264,405,8,8,169,99,49,141,0
140,17,173,235,270,376,7,9,93,51,62,106,0
141,11,298,362,284,426,10,5,105,46,64,142,0
142,19,153,126,380,468,3,3,160,67,-27,88,0
143,19,135,144,195,229,1,5,183,74,9,34,1
144,14,187,233,288,404,5,5,157,89,46,116,0
145,9,176,203,125,218,4,5,197,91,27,93,0
146,4,174,221,58,199,10,3,163,113,47,141,0
147,5,149,237,123,269,8,10,127,76,88,146,0
148,19,348,347,491,523,1,4,179,43,-1,32,1
149,7,304,395,450,567,10,9,86,50,91,117,0
150,19,121,130,302,375,1,10,69,25,9,73,0
151,19,87,189,279,425,4,9,75,41,102,146,0
152,19,258,300,56,125,8,2,78,47,42,69,0
153,4,146,189,223,314,5,8,50,16,43,91,0
154,4,347,403,190,293,2,8,168,79,56,103,0
155,7,308,351,217,345,6,7,84,26,43,128,0
156,3,156,234,219,353,5,8,108,24,78,134,0
157,3,158,184,442,452,2,3,118,50,26,10,1
158,4,87,118,483,637,3,6,61,25,31,154,0
159,14,151,195,332,394,9,1,69,55,44,62,0
160,8,30,110,171,301,7,7,92,43,80,130,0
161,6,268,310,243,317,7,1,175,70,42,74,0
162,13,319,384,54,151,6,9,99,54,65,97,0
163,19,125,178,78,155,8,1,78,19,53,77,0
164,8,155,180,214,262,4,1,88,68,25,48,1
165,7,147,218,471,588,8,7,87,50,71,117,0
166,4,77,101,388,472,4,2,133,86,24,84,0
167,8,118,173,185,301,8,5,177,53,55,116,0
168,13,266,313,414,528,9,8,175,77,47,114,0
169,18,301,345,370,422,3,8,94,42,44,52,0
170,18,218,208,391,463,3,3,101,70,-10,72,0
171,3,221,257,194,226,2,7,129,25,36,32,0
172,11,98,152,376,509,10,3,173,65,54,133,0
173,8,307,347,266,357,3,6,168,132,40,91,0
174,18,276,289,350,399,3,6,57,27,13,49,1
175,5,105,97,181,281,5,3,134,57,-8,100,0
176,6,183,222,341,396,5,7,178,48,39,55,0
177,5,173,172,119,171,2,3,57,44,-1,52,0
178,9,115,154,301,464,10,8,145,30,39,163,0
179,11,214,289,464,601,6,10,151,96,75,137,0
180,3,314,383,324,371,5,4,54,35,69,47,0
181,10,249,267,494,534,6,1,135,46,18,40,1
182,9,98,114,413,503,1,4,83,50,16,90,0
183,10,76,116,231,373,5,7,104,26,40,142,0
184,3,123,167,216,360,9,4,168,59,44,144,0
185,13,267,348,140,316,10,6,163,109,81,176,0
186,12,233,290,251,368,2,9,194,139,57,117,0
187,5,247,238,395,404,1,1,75,42,-9,9,1
188,9,68,133,68,209,10,5,185,93,65,141,0
189,18,129,220,88,190,9,7,96,28,91,102,0
190,18,318,384,175,281,10,1,162,38,66,106,0
191,19,283,356,222,379,9,4,125,33,73,157,0
192,4,251,341,190,309,9,6,121,40,90,119,0
193,3,52,115,291,397,6,2,138,55,63,106,0
194,18,279,369,269,431,8,10,95,40,90,162,0
195,14,39,61,175,184,1,5,82,33,22,9,1
196,7,275,348,107,254,10,10,50,17,73,147,0
197,7,354,379,197,272,4,1,196,99,25,75,0
198,11,129,142,366,440,1,6,80,55,13,74,0
199,11,319,338,432,563,8,6,191,70,19,131,0
200,5,209,221,410,444,1,4,102,78,12,34,1
